"Timestamp","Direction","Topic","Payload"
"2026-08-14T07:04:44.219Z","IN","m360/DF/0000/out/1/4/1/0/37","406"
"2026-08-14T07:04:44.219Z","IN","m360/DF/0000/out/1/4/1/0/37","406"
"2026-08-14T07:04:44.219Z","IN","m360/DF/0000/out/1/5/1/0/37","332"
"2026-08-14T07:04:44.219Z","IN","m360/DF/0000/out/1/5/1/0/37","332"
"2026-08-14T07:04:44.219Z","IN","m360/DF/0000/out/1/6/1/0/37","261"
"2026-08-14T07:04:44.219Z","IN","m360/DF/0000/out/1/6/1/0/37","261"
"2026-08-14T07:05:06.971Z","IN","m360/DF/0000/out/99/11/1/0/0","15"
"2026-08-14T07:05:06.972Z","IN","m360/DF/0000/out/99/11/1/0/0","15"
"2026-08-14T07:05:07.031Z","IN","m360/DF/0000/out/99/12/1/0/1","20"
"2026-08-14T07:05:07.031Z","IN","m360/DF/0000/out/99/12/1/0/1","20"
"2026-08-14T07:05:23.251Z","IN","m360/DF/0000/out/2/1/1/0/37","123"
"2026-08-14T07:05:23.251Z","IN","m360/DF/0000/out/2/1/1/0/37","123"
"2026-08-14T07:05:23.353Z","IN","m360/DF/0000/out/2/2/1/0/37","430"
"2026-08-14T07:05:23.354Z","IN","m360/DF/0000/out/2/2/1/0/37","430"
"2026-08-14T07:05:23.359Z","IN","m360/DF/0000/out/2/3/1/0/37","1018"
"2026-08-14T07:05:23.359Z","IN","m360/DF/0000/out/2/3/1/0/37","1018"
"2026-08-14T07:05:23.363Z","IN","m360/DF/0000/out/2/4/1/0/37","1019"
"2026-08-14T07:05:23.363Z","IN","m360/DF/0000/out/2/4/1/0/37","1019"
"2026-08-14T07:05:23.659Z","IN","m360/DF/0000/out/2/5/1/0/37","664"
"2026-08-14T07:05:23.659Z","IN","m360/DF/0000/out/2/5/1/0/37","664"
"2026-08-14T07:05:23.659Z","IN","m360/DF/0000/out/2/6/1/0/37","362"
"2026-08-14T07:05:23.659Z","IN","m360/DF/0000/out/2/6/1/0/37","362"
"2026-08-14T07:05:26.062Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34681,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34681,""rssi"":-63,""wifiRssi"":-63,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:05:26.062Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":34681,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":34681,""rssi"":-63,""wifiRssi"":-63,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-14T07:05:26.080Z","IN","m360/DF/0000/gateway/status","{""timestamp"":34681,""isConnected"":true,""connectionTime"":34673,""reconnectCount"":0,""lastErrorCode"":0,""uptime"":34681,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-14T07:05:43.750Z","IN","m360/DF/0000/out/1/1/1/0/37","346"
"2026-08-14T07:05:43.750Z","IN","m360/DF/0000/out/1/1/1/0/37","346"
