value,footprint,quantity,references
MountingHole M3,MountingHole:MountingHole_3.2mm_M3,4,"['H2', 'H1', 'H4', 'H3']"
1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,1,['D1']
PTC 500mA,Fuse:Fuse_Bourns_MF-RG500,1,['F1']
CFG / AP,Button_Switch_THT:SW_PUSH_6mm,1,['SW1']
WEMOS D1 mini (ESP8266),RF_Module:WEMOS_D1_mini_light,1,['U1']
470R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,3,"['R3', 'R2', 'R1']"
AMS1117-3.3,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,['U3']
LED AMARELO,LED_THT:LED_D3.0mm,1,['D3']
10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,"['R5', 'R4']"
nRF24L01+ (soquete 2x4),Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical,1,['U2']
LED VERMELHO,LED_THT:LED_D3.0mm,1,['D2']
EXPANSAO,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,1,['J2']
100uF/10V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,['C3']
100nF,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,2,"['C2', 'C4']"
LED VERDE,LED_THT:LED_D3.0mm,1,['D4']
IRQ SEL,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,['J3']
470uF/16V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,['C1']
5V IN,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,['J1']
10uF/16V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,1,['C5']
