"Timestamp","Direction","Topic","Payload"
"2026-08-05T13:08:31.192Z","IN","m360/DF/0000/out/1/5/1/0/37","443"
"2026-08-05T13:08:31.240Z","IN","m360/DF/0000/out/1/6/1/0/37","684"
"2026-08-05T13:08:46.173Z","IN","m360/DF/0000/out/2/1/1/0/37","65"
"2026-08-05T13:08:46.231Z","IN","m360/DF/0000/out/2/2/1/0/37","1005"
"2026-08-05T13:08:46.276Z","IN","m360/DF/0000/out/2/6/1/0/37","868"
"2026-08-05T13:09:23.361Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":504938,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":504938,""rssi"":-61,""wifiRssi"":-61,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:09:23.417Z","IN","m360/DF/0000/gateway/status","{""timestamp"":504938,""isConnected"":true,""connectionTime"":408592,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":504938,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:09:31.149Z","IN","m360/DF/0000/out/1/1/1/0/37","1012"
"2026-08-05T13:09:31.181Z","IN","m360/DF/0000/out/1/2/1/0/37","934"
"2026-08-05T13:09:31.200Z","IN","m360/DF/0000/out/1/3/1/0/37","179"
"2026-08-05T13:09:31.230Z","IN","m360/DF/0000/out/1/4/1/0/37","940"
"2026-08-05T13:09:31.270Z","IN","m360/DF/0000/out/1/5/1/0/37","445"
"2026-08-05T13:09:31.318Z","IN","m360/DF/0000/out/1/6/1/0/37","687"
"2026-08-05T13:09:46.198Z","IN","m360/DF/0000/out/2/1/1/0/37","92"
"2026-08-05T13:09:46.382Z","IN","m360/DF/0000/out/2/4/1/0/37","1018"
"2026-08-05T13:09:46.382Z","IN","m360/DF/0000/out/2/5/1/0/37","1000"
"2026-08-05T13:09:46.382Z","IN","m360/DF/0000/out/2/6/1/0/37","869"
"2026-08-05T13:10:23.363Z","IN","m360/DF/0000/out","{""nodeId"":0,""sensorId"":255,""command"":3,""ack"":0,""type"":22,""payload"":"""",""timestamp"":504998,""description"":""heartbeat"",""event"":""heartbeat"",""uptime"":504998,""rssi"":-60,""wifiRssi"":-60,""batteryLevel"":100,""ip"":""192.168.1.2"",""version"":""2.0"",""source"":""gateway""}"
"2026-08-05T13:10:23.422Z","IN","m360/DF/0000/gateway/status","{""timestamp"":504998,""isConnected"":true,""connectionTime"":408652,""reconnectCount"":3,""lastErrorCode"":0,""uptime"":504998,""source"":""gateway"",""type"":""mqtt_metrics""}"
"2026-08-05T13:10:31.230Z","IN","m360/DF/0000/out/1/1/1/0/37","997"
"2026-08-05T13:10:31.257Z","IN","m360/DF/0000/out/1/3/1/0/37","177"
"2026-08-05T13:10:31.298Z","IN","m360/DF/0000/out/1/4/1/0/37","931"
"2026-08-05T13:10:31.423Z","IN","m360/DF/0000/out/1/5/1/0/37","454"
"2026-08-05T13:10:31.423Z","IN","m360/DF/0000/out/1/6/1/0/37","686"
"2026-08-05T13:10:42.083Z","IN","m360/DF/0000/out/99/21/1/0/34","0"
"2026-08-05T13:10:46.177Z","IN","m360/DF/0000/out/2/1/1/0/37","59"
"2026-08-05T13:10:46.209Z","IN","m360/DF/0000/out/2/2/1/0/37","1004"
"2026-08-05T13:10:46.240Z","IN","m360/DF/0000/out/2/3/1/0/37","1016"
